fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
7 may 2025,57.93,58.39,57.74,58.36,58.36,7997
6 may 2025,57.25,59.84,57.03,59.09,59.09,308387
5 may 2025,56.76,57.70,55.30,57.13,57.13,308387
2 may 2025,58.99,59.87,57.74,58.29,58.29,322096
1 may 2025,58.16,59.50,56.39,59.24,59.24,364216
30 abr 2025,60.16,60.43,57.91,58.21,58.21,419549
29 abr 2025,61.87,62.07,60.12,60.42,60.42,312373
28 abr 2025,63.49,63.92,61.48,62.05,62.05,276116
25 abr 2025,62.86,63.41,61.80,63.02,63.02,283758
24 abr 2025,62.34,63.31,61.99,62.79,62.79,264908
23 abr 2025,64.00,64.87,61.53,62.27,62.27,397841
22 abr 2025,63.43,65.09,63.43,64.31,64.31,297928
21 abr 2025,64.30,64.42,62.45,63.08,63.08,82671
17 abr 2025,62.63,64.86,62.61,64.68,64.68,111479
16 abr 2025,61.54,62.98,60.44,62.47,62.47,213194
15 abr 2025,61.58,62.06,60.88,61.33,61.33,197404
14 abr 2025,61.70,62.68,60.59,61.53,61.53,238068
11 abr 2025,60.20,61.87,59.43,61.50,61.50,306231
10 abr 2025,62.71,63.34,58.76,60.07,60.07,391826
9 abr 2025,58.32,62.93,55.12,62.35,62.35,592250
8 abr 2025,61.03,61.75,57.88,59.58,59.58,557655
7 abr 2025,61.12,63.90,58.95,60.70,60.70,597617
4 abr 2025,66.64,66.90,60.45,61.99,61.99,559638
3 abr 2025,70.38,70.41,65.98,66.95,66.95,459238
2 abr 2025,71.20,72.28,70.59,71.71,71.71,286501
1 abr 2025,71.39,72.10,71.03,71.20,71.20,272832
31 mar 2025,69.43,71.83,68.81,71.48,71.48,313087
28 mar 2025,69.91,70.09,68.87,69.36,69.36,246650
27 mar 2025,69.96,69.97,69.12,69.92,69.92,211825
26 mar 2025,69.16,70.22,69.06,69.65,69.65,262413
25 mar 2025,69.16,69.68,68.52,69.00,69.00,258411
24 mar 2025,68.35,69.33,67.95,69.11,69.11,247024
21 mar 2025,68.35,68.65,67.65,68.28,68.28,198964
20 mar 2025,67.29,68.47,66.88,68.26,68.26,283376
19 mar 2025,66.72,67.63,66.21,67.16,67.16,73077
18 mar 2025,67.40,68.72,66.56,66.90,66.90,110338
17 mar 2025,67.35,68.37,67.25,67.58,67.58,161298
14 mar 2025,66.78,67.48,66.59,67.18,67.18,180495
13 mar 2025,67.69,67.94,66.37,66.55,66.55,268590
12 mar 2025,66.62,67.88,66.15,67.68,67.68,246675
11 mar 2025,65.95,67.17,65.29,66.25,66.25,222511
10 mar 2025,67.11,67.60,65.80,66.03,66.03,249633
7 mar 2025,66.34,68.22,66.12,67.04,67.04,329710
6 mar 2025,66.39,67.09,65.59,66.36,66.36,341632
5 mar 2025,68.08,68.10,65.22,66.31,66.31,382493
4 mar 2025,68.46,68.56,66.77,68.26,68.26,386750
3 mar 2025,69.95,70.60,67.89,68.37,68.37,332751
28 feb 2025,70.17,70.29,69.14,69.76,69.76,250074
27 feb 2025,68.82,70.54,68.61,70.35,70.35,265933
26 feb 2025,69.11,69.28,68.36,68.62,68.62,255601
25 feb 2025,70.92,71.26,68.68,68.93,68.93,267310
24 feb 2025,69.80,70.94,69.80,70.70,70.70,205468
21 feb 2025,72.58,72.77,70.17,70.40,70.40,268470
20 feb 2025,72.18,73.25,71.85,72.57,72.57,240060
19 feb 2025,71.78,73.04,71.71,72.25,72.25,69012
18 feb 2025,70.70,72.07,70.12,71.85,71.85,130937
14 feb 2025,71.52,72.02,70.52,70.74,70.74,207719
13 feb 2025,71.24,71.60,70.22,71.29,71.29,278197
12 feb 2025,73.20,73.22,71.17,71.37,71.37,318123
11 feb 2025,72.49,73.68,72.31,73.32,73.32,266819
10 feb 2025,71.00,72.54,70.84,72.32,72.32,255941
7 feb 2025,70.56,71.41,70.47,71.00,71.00,273766
6 feb 2025,71.18,71.85,70.43,70.61,70.61,299037
5 feb 2025,72.76,72.97,70.96,71.03,71.03,289902
4 feb 2025,72.35,73.35,70.67,72.70,72.70,452961
3 feb 2025,74.14,75.18,72.05,73.16,73.16,517853
31 ene 2025,73.20,73.84,71.94,72.53,72.53,376335
30 ene 2025,73.00,73.84,72.02,72.73,72.73,336475
29 ene 2025,73.95,74.08,72.33,72.62,72.62,312733
28 ene 2025,73.15,74.31,72.93,73.77,73.77,326075
27 ene 2025,74.54,75.15,72.38,73.17,73.17,334418
24 ene 2025,74.30,75.21,74.01,74.66,74.66,319679
23 ene 2025,75.39,76.00,74.14,74.62,74.62,350688
22 ene 2025,75.88,76.45,75.28,75.44,75.44,315333
21 ene 2025,78.19,78.47,75.49,75.89,75.89,568807
17 ene 2025,78.75,79.44,77.76,77.88,77.88,112409
16 ene 2025,80.40,80.59,77.87,78.68,78.68,159948
15 ene 2025,78.03,80.77,77.24,80.04,80.04,321422
14 ene 2025,78.82,79.09,77.41,77.50,77.50,326729
13 ene 2025,76.54,79.27,76.54,78.82,78.82,460942
10 ene 2025,74.29,77.86,74.02,76.57,76.57,478432
9 ene 2025,73.32,74.32,72.84,73.92,73.92,213421
8 ene 2025,74.52,75.29,73.16,73.32,73.32,328617
7 ene 2025,73.44,74.53,73.11,74.25,74.25,277328
6 ene 2025,74.05,74.99,73.20,73.56,73.56,306042
3 ene 2025,73.13,74.35,72.70,73.96,73.96,296040
2 ene 2025,71.85,73.73,71.79,73.13,73.13,306498
31 dic 2024,71.15,72.02,70.87,71.72,71.72,151155
30 dic 2024,70.42,71.56,70.12,70.99,70.99,199296
27 dic 2024,69.68,70.75,69.44,70.60,70.60,172641
26 dic 2024,70.20,70.75,69.33,69.62,69.62,144877
24 dic 2024,69.56,70.43,69.36,70.10,70.10,122602
23 dic 2024,69.40,69.94,68.59,69.24,69.24,188843
20 dic 2024,69.23,69.85,68.42,69.46,69.46,231592
19 dic 2024,70.14,71.26,69.70,69.91,69.91,291660
18 dic 2024,70.22,71.38,69.99,70.58,70.58,99386
17 dic 2024,70.61,70.92,69.18,70.08,70.08,99604
16 dic 2024,71.44,71.44,70.37,70.71,70.71,204296
13 dic 2024,70.06,71.42,69.87,71.29,71.29,230429
12 dic 2024,70.43,70.72,69.14,70.02,70.02,326046
11 dic 2024,68.50,70.53,68.44,70.29,70.29,335892
10 dic 2024,68.19,69.06,67.72,68.59,68.59,286003
9 dic 2024,67.15,68.88,67.08,68.37,68.37,297085
6 dic 2024,68.44,68.49,66.98,67.20,67.20,341593
5 dic 2024,68.74,69.16,67.98,68.30,68.30,286701
4 dic 2024,70.02,70.51,68.49,68.54,68.54,325636
3 dic 2024,68.16,70.23,67.91,69.94,69.94,303752
2 dic 2024,68.00,69.11,67.71,68.10,68.10,264883
29 nov 2024,68.77,69.69,67.87,68.00,68.00,291408
27 nov 2024,68.91,69.37,68.18,68.72,68.72,227215
26 nov 2024,69.08,70.30,68.05,68.77,68.77,292138
25 nov 2024,71.44,71.48,68.74,68.94,68.94,380922
22 nov 2024,70.18,71.51,69.29,71.24,71.24,408207
21 nov 2024,69.04,70.38,68.86,70.10,70.10,283850
20 nov 2024,69.55,70.15,68.75,68.87,68.87,235637
19 nov 2024,69.01,69.69,68.45,69.39,69.39,89360
18 nov 2024,66.86,69.39,66.61,69.16,69.16,110375
15 nov 2024,68.62,68.69,66.82,67.02,67.02,205235
14 nov 2024,68.13,69.39,67.92,68.70,68.70,232270
13 nov 2024,67.98,68.86,66.94,68.43,68.43,386027
12 nov 2024,68.15,69.13,67.75,68.12,68.12,286926
11 nov 2024,70.25,70.56,67.92,68.04,68.04,364506
8 nov 2024,72.21,72.25,69.99,70.38,70.38,362038
7 nov 2024,71.87,72.88,70.66,72.36,72.36,353595
6 nov 2024,72.02,72.63,69.74,71.69,71.69,388265
5 nov 2024,71.62,72.67,71.29,71.99,71.99,247311
4 nov 2024,70.29,71.81,70.25,71.47,71.47,286947
1 nov 2024,70.44,71.45,69.32,69.49,69.49,320572
31 oct 2024,69.10,70.81,68.30,69.26,69.26,311055
30 oct 2024,67.47,69.17,67.28,68.61,68.61,284795
29 oct 2024,68.02,68.52,66.72,67.21,67.21,291929
28 oct 2024,68.98,69.00,66.92,67.38,67.38,419623
25 oct 2024,70.33,71.92,69.96,71.78,71.78,287189
24 oct 2024,71.02,72.34,69.77,70.19,70.19,286571
23 oct 2024,71.35,71.72,70.13,70.77,70.77,293835
22 oct 2024,70.49,72.66,70.05,72.09,72.09,330456
21 oct 2024,69.46,71.03,69.00,70.56,70.56,92584
18 oct 2024,70.75,71.23,68.69,69.22,69.22,95768
17 oct 2024,70.68,71.11,69.44,70.67,70.67,188161
16 oct 2024,70.99,71.31,69.64,70.39,70.39,222437
15 oct 2024,71.51,72.12,69.71,70.58,70.58,328738
14 oct 2024,75.05,75.08,71.81,73.83,73.83,273455
11 oct 2024,75.74,76.04,74.53,75.56,75.56,315302
10 oct 2024,73.39,76.24,73.26,75.85,75.85,321453
9 oct 2024,73.84,74.45,71.53,73.24,73.24,401159
8 oct 2024,77.33,78.46,72.69,73.57,73.57,496760
7 oct 2024,74.40,77.40,73.62,77.14,77.14,419018
4 oct 2024,73.95,75.57,73.46,74.38,74.38,428815
3 oct 2024,70.98,74.09,70.52,73.71,73.71,460554
2 oct 2024,70.80,72.49,69.87,70.10,70.10,429225
1 oct 2024,68.41,71.94,66.33,69.83,69.83,668216
30 sept 2024,68.63,69.32,67.57,68.17,68.17,350115
27 sept 2024,67.45,68.65,67.06,68.18,68.18,341133
26 sept 2024,69.89,70.01,66.95,67.67,67.67,478069
25 sept 2024,71.54,71.72,69.23,69.69,69.69,476237
24 sept 2024,70.76,72.40,70.44,71.56,71.56,318516
23 sept 2024,71.31,71.81,69.49,70.37,70.37,338267
20 sept 2024,72.10,72.40,71.36,71.92,71.92,306997
19 sept 2024,70.13,72.49,70.13,71.95,71.95,86630
18 sept 2024,71.14,71.48,69.73,70.91,70.91,102907
17 sept 2024,70.50,71.92,69.61,71.19,71.19,251629
16 sept 2024,69.16,70.70,68.65,70.09,70.09,295176
13 sept 2024,69.31,70.32,68.47,68.65,68.65,308983
12 sept 2024,67.39,69.81,67.24,68.97,68.97,351976
11 sept 2024,66.28,67.97,65.63,67.31,67.31,393311
10 sept 2024,68.78,69.08,65.27,65.75,65.75,442855
9 sept 2024,68.13,68.96,67.31,68.71,68.71,351074
6 sept 2024,69.33,70.13,67.17,67.67,67.67,351074
5 sept 2024,69.27,70.82,68.75,69.15,69.15,405596
4 sept 2024,70.28,71.46,68.82,69.20,69.20,482025
3 sept 2024,73.53,74.41,70.10,70.34,70.34,546617
30 ago 2024,75.87,76.59,73.36,73.55,73.55,427273
29 ago 2024,74.42,76.91,74.05,75.91,75.91,408147
28 ago 2024,75.75,75.95,73.82,74.52,74.52,337361
27 ago 2024,77.20,77.48,75.40,75.53,75.53,331162
26 ago 2024,75.10,77.60,75.04,77.42,77.42,409675
23 ago 2024,72.96,75.07,72.83,74.83,74.83,313764
22 ago 2024,71.93,73.52,71.58,73.01,73.01,334117
21 ago 2024,73.12,74.16,71.46,71.93,71.93,390527
20 ago 2024,74.34,75.03,73.50,74.04,74.04,329276
19 ago 2024,76.58,76.87,74.17,74.37,74.37,118172
16 ago 2024,78.16,78.16,75.54,76.65,76.65,100810
15 ago 2024,77.52,78.60,76.93,78.16,78.16,195122
14 ago 2024,78.73,79.10,76.83,76.98,76.98,357636
13 ago 2024,79.74,80.15,78.16,78.35,78.35,370763
12 ago 2024,76.99,80.16,76.70,80.06,80.06,376747
9 ago 2024,76.02,77.09,75.85,76.84,76.84,263007
8 ago 2024,75.47,76.52,74.60,76.19,76.19,327301
7 ago 2024,72.84,75.84,72.58,75.23,75.23,427995
6 ago 2024,73.86,74.56,72.20,73.20,73.20,352250
5 ago 2024,74.21,74.46,71.67,72.94,72.94,500151
2 ago 2024,76.87,77.29,72.97,73.52,73.52,467786
1 ago 2024,78.59,78.88,76.24,76.31,76.31,383014
31 jul 2024,75.24,78.66,75.18,77.91,77.91,460315
30 jul 2024,75.91,75.97,74.59,74.73,74.73,419478
29 jul 2024,77.30,77.69,75.35,75.81,75.81,362635
26 jul 2024,78.35,78.60,76.19,77.16,77.16,365121
25 jul 2024,77.50,78.47,76.04,78.28,78.28,457288
24 jul 2024,77.45,78.19,76.98,77.59,77.59,355971
23 jul 2024,78.27,78.73,76.40,76.96,76.96,417941
22 jul 2024,80.39,80.69,79.17,79.78,79.78,345235
19 jul 2024,82.47,82.88,80.07,80.13,80.13,83795
18 jul 2024,83.11,83.82,82.04,82.82,82.82,95704
17 jul 2024,80.85,83.10,80.45,82.85,82.85,257437
16 jul 2024,81.92,81.93,80.22,80.76,80.76,308186
15 jul 2024,82.16,82.58,81.47,81.91,81.91,296520
12 jul 2024,82.86,83.74,82.10,82.21,82.21,370062
11 jul 2024,82.40,83.13,81.63,82.62,82.62,324170
10 jul 2024,81.81,82.66,80.81,82.10,82.10,334380
9 jul 2024,82.22,82.48,81.25,81.41,81.41,297325
8 jul 2024,83.15,83.32,82.08,82.33,82.33,251774
5 jul 2024,83.60,84.52,83.02,83.16,83.16,361357
3 jul 2024,83.20,83.93,82.46,83.88,83.88,289685
2 jul 2024,83.43,84.38,82.72,82.81,82.81,367787
1 jul 2024,81.45,83.64,81.38,83.38,83.38,345780
28 jun 2024,81.86,82.72,80.97,81.54,81.54,260252
27 jun 2024,80.86,82.04,80.51,81.74,81.74,306342
26 jun 2024,80.72,81.63,80.18,80.90,80.90,308410
25 jun 2024,81.70,81.90,80.55,80.83,80.83,286038
24 jun 2024,80.45,81.78,80.23,81.63,81.63,271745
21 jun 2024,81.27,81.79,80.35,80.73,80.73,290500
20 jun 2024,81.52,82.41,81.13,82.17,82.17,420499
18 jun 2024,80.43,81.67,79.77,81.57,81.57,140709
17 jun 2024,78.48,80.66,77.98,80.33,80.33,126733
14 jun 2024,77.96,79.15,77.73,78.45,78.45,245827
13 jun 2024,78.37,78.89,77.67,78.62,78.62,307638
12 jun 2024,78.22,79.32,77.88,78.50,78.50,322285
11 jun 2024,78.12,78.36,77.22,77.90,77.90,314874
10 jun 2024,75.35,78.29,75.23,77.74,77.74,317031
7 jun 2024,75.67,76.25,75.21,75.53,75.53,280253
6 jun 2024,74.30,75.79,74.06,75.55,75.55,291082
5 jun 2024,72.90,74.33,72.82,74.07,74.07,307701
4 jun 2024,74.02,74.13,72.48,73.25,73.25,408721
3 jun 2024,76.97,77.52,73.98,74.22,74.22,443271
31 may 2024,77.91,78.62,76.67,76.99,76.99,345120
30 may 2024,79.28,79.42,77.63,77.91,77.91,373779
29 may 2024,80.26,80.62,78.99,79.23,79.23,259594
28 may 2024,77.81,80.29,77.69,79.83,79.83,334074
24 may 2024,77.04,78.05,76.15,77.72,77.72,299075
23 may 2024,77.29,78.66,76.43,76.87,76.87,330273
22 may 2024,78.21,78.41,77.25,77.57,77.57,314145
21 may 2024,79.70,79.72,78.08,79.26,79.26,371672
20 may 2024,80.01,80.60,79.17,79.80,79.80,85072
17 may 2024,79.38,80.14,79.00,80.06,80.06,94152
16 may 2024,78.84,79.85,78.20,79.23,79.23,230277
15 may 2024,78.44,78.92,76.70,78.63,78.63,321267
14 may 2024,79.23,79.38,77.68,78.02,78.02,307410
13 may 2024,78.18,79.49,77.78,79.12,79.12,287701
10 may 2024,79.59,79.96,78.14,78.26,78.26,281169
9 may 2024,79.23,79.80,78.91,79.26,79.26,272712
8 may 2024,78.34,79.27,76.89,78.99,78.99,355449
7 may 2024,78.72,79.17,77.55,78.38,78.38,327593
